underlying_symbol,quote_date,open,high,low,close,trade_volume,vwap,best_bid_1545,best_ask_1545,best_bid_eod,best_ask_eod
A,2025-10-03,139.0000,143.0900,138.8550,141.6400,1916578,141.6864,141.9100,142.1000,141.6500,141.7100
AA,2025-10-03,35.1400,35.2500,34.3500,34.5000,5107219,34.7538,34.5200,34.5300,34.5000,34.5100
AAA,2025-10-03,24.9300,25.0300,24.9300,25.0250,4639,24.9854,25.0200,25.0300,25.0200,25.0300
AAAA,2025-10-03,26.8940,26.8940,26.8940,26.8940,290,26.8886,26.8100,26.8400,26.8000,26.8200
AAAU,2025-10-03,38.3100,38.4150,38.1704,38.3700,1605014,38.3342,38.3700,38.3800,38.3600,38.3700
AACB,2025-10-03,10.1600,10.1600,10.1500,10.1500,628714,10.1500,10.1500,10.1800,10.1500,10.1800
AACBR,2025-10-03,0.0000,0.0000,0.0000,0.0000,205,0.2288,0.2200,0.2400,0.2200,0.2400
AACBU,2025-10-03,10.4500,10.4700,10.3100,10.3200,2385,10.3483,10.3100,10.5000,10.3100,11.8200
AACG,2025-10-03,1.4200,1.4500,1.3701,1.4000,39780,1.4239,1.4000,1.4300,1.3800,1.4200
AACI,2025-10-03,10.4600,10.4700,10.4600,10.4700,397,10.4622,10.4100,10.4700,10.4100,10.4700
AACIU,2025-10-03,0.0000,0.0000,0.0000,0.0000,0,0.0000,10.4000,17.3700,10.4000,17.3700
AACIW,2025-10-03,0.9845,0.9950,0.9000,0.9499,75697,0.9271,0.9000,0.9500,0.9000,0.9500
AADR,2025-10-03,87.6400,87.6400,86.0000,86.0000,3516,86.5504,85.8700,86.6500,85.7400,86.5600
AAL,2025-10-03,11.5300,11.6300,11.3700,11.5800,74845062,11.5016,11.5500,11.5600,11.5700,11.5800
AALG,2025-10-03,11.0300,11.0792,10.7200,11.0000,21032,10.9410,11.0100,11.0400,11.0100,11.2000
AAM,2025-10-03,10.5200,10.5400,10.5200,10.5400,1559,10.5306,10.5200,10.5400,10.5200,10.5400
AAM.U,2025-10-03,0.0000,0.0000,0.0000,0.0000,2,10.5878,10.5700,11.1000,10.5700,11.1000
AAM.WS,2025-10-03,0.1601,0.1789,0.1600,0.1612,35795,0.1670,0.1600,0.1900,0.1600,0.1900
AAME,2025-10-03,2.8300,2.8500,2.7000,2.7750,27784,2.7783,2.7700,2.8400,2.7600,2.7700
AAMI,2025-10-03,46.3000,47.4450,45.5200,46.2500,162934,46.2543,45.9000,46.0000,46.2400,46.2600
AAOI,2025-10-03,28.0500,28.7900,26.8710,27.9200,3701124,27.6492,27.6700,27.7000,27.9000,27.9400
