Date,AA,ACRS,AEO,AHCO,AME,ANSS,APD,ARMK,AUR,AVTR,AWI,AXTA,BDN,BSY,BV,CABA,CCNE,CEIX,CMCSA,CNX,COHR,COR,CRS,CTLP,CUBE,CUBI,DGICA,DKS,DORM,DUOL,ECVT,ENS,EPAM,EQT,ESNT,ETRN,FCF,FIVE,FMC,FNB,FOLD,FOUR,FULT,GLPI,GMED,HCSG,HLNE,HRMY,HSY,HWM,IRT,KHC,KMT,KOP,KRYS,KWR,LMB,LNC,MATW,MDGL,MLYS,MNTK,MPB,MSA,NVRI,NWBI,OFLX,OLLI,OSUR,PENN,PFIS,PNC,PPG,PPL,RDN,SEIC,SEM,STBA,TFX,TGI,TOL,UGI,UHS,UHT,URBN,UTZ,UVSP,VPG,VSH,VSTS,VTRS,WAB,WCC,WMK,WST,WTRG,X,YORW
2024-05-28,7631862200.32,67194867.60000001,4328354231.04,794773224.24,38672537132.16,28355538193.92,58613871286.56,8260848748.8,1691698018.56,15923296093.44,5103309549.5199995,7696647104.64,767536500.4799999,11752968459.232,558008186.24,408133066.64,394907307.20000005,2368873342.2000003,157536787456.0,3890975444.16,8794457275.199999,36721550900.0,5345742463.92,416146582.2,9269321399.04,1292296179.24,196256592.42,11571633077.4,2412666074.0,6639708978.0,953713400.64,4336310844.72,10025092165.44,16835838360.0,5763015226.56,5919593686.08,1340451895.68,7222686722.879999,7793825591.04,4834457835.2,2747430879.36,3697593125.7599998,2656730931.2000003,11079570823.2,7624554060.8,790881346.24,4371505777.280001,979913936.4,29133101074.88,33321062280.0,3591841523.04,27551409989.760002,1968827275.04,838512459.3599999,3880023350.68,2507158145.82,554122594.215,5408860953.6,830381267.4200001,3494505168.2999997,223524388.07999998,317770348.8,316685142.6,6750806608.0,667250515.28,1376829517.52,197222419.6,4853314772.64,338652699.6,2254655935.84,257437508.8,60300287649.6,30500176032.0,20773689210.88,4787827072.16,8083512137.44,3457181942.4799995,1191449841.6,9590028767.359999,1055061304.3199999,12830508788.0,5053323365.76,10384759107.0,475752836.11999995,2794921092.3199997,1197205237.7600002,620521985.02,384501780.03,2996601924.96,1512480118.32,12406767244.800001,29920265007.52,9375365781.599998,1051813879.2399999,24058831997.76,8848331668.800001,7304795796.4800005,423759565.71000004
2024-05-29,7759030466.56,65275014.24,4350077464.320001,785339714.16,38323390919.04,27863935046.528004,57635165113.44,8081716579.2,1698688506.24,15822558243.839998,5074607021.12,7526543250.72,754070947.84,11589726591.52,543751057.28,384395496.15999997,385236107.84000003,2305026219.96,155085488896.0,3860131405.76,8642546243.52,37200416904.799995,5315285104.559999,416146582.2,8952307035.2,1261274177.1599998,193844837.06,13410943057.4,2388473673.04,6704482458.12,940887776.64,4333486937.76,10090693264.960001,16611360515.2,5715301277.6,5828713671.36,1311571431.36,7166650512.24,7496351331.839999,4749580740.8,2684337477.12,3663938518.08,2621521244.16,10941484171.199999,7598937049.6,782773522.56,4169216226.56,977580807.9799999,28545015102.559998,32840639040.0,3531643061.7599998,27268266752.640003,1952216036.48,844910265.4399999,3809042851.84,2448778321.11,547913539.4,5434026249.6,818776788.36,3487457900.55,227011221.72,306089817.6,311125917.53999996,6625434485.28,656299158.64,1354865509.72,193731318.04500002,4880984754.24,328826507.28,2235257837.12,244918727.2,59793994647.35999,29911960032.0,20500973178.88,4723906228.8,8042454561.599999,3473828018.64,1150505280.48,9501926470.24,1053556224.0,12659577780.0,5051242095.84,10674524995.92,466331987.88000005,2760085067.2000003,1209898820.08,607730647.72,380178909.82,2942507095.92,1517691074.8,12329075542.4,29707448233.12,8929929850.8,1052139921.9800001,23704701507.84,8712687931.199999,7364313415.679999,417099986.1
2024-05-17,7285681920.0,75514232.16,4259563992.32,785339714.16,38314202860.8,28320108893.440002,58168803547.2,8645074272.0,1908403136.64,16782925743.359999,5029566130.400001,7873378381.440001,809616352.4799999,12595492743.679998,534642336.0,473219953.44,415055639.20000005,2193535601.2000003,160478345728.0,3748321766.56,8657439481.92,37718339356.8,5229147885.12,388993755.56,9905582622.24,1403458353.36,201080103.14,11543153439.0,2401358756.16,6123230199.839999,1008094046.4,3889326714.48,10620591801.6,16805227744.8,5894747216.08,5746095476.16,1417134507.8400002,7474577650.32,7932646912.0,5004212024.0,2747430879.36,3730696018.5600004,2778364395.52,11561618772.0,7499962233.599999,851321486.4000001,3882681401.6,966915078.0600001,30524462372.8,32395368720.0,3817028359.6800003,28318256256.960003,2056629536.0,864903409.4399999,3996616747.4,2685195909.12,452644835.75,5077517889.6,859612803.2800001,3445644111.9,238389310.44,291713779.2,323432487.0,7022322566.08,644565562.24,1432053308.56,218814303.625,4511744222.0,345320472.96,2375521012.48,265719164.32,63452752671.35999,31631903616.0,21519113031.68,4923463983.679999,8254987895.36,3530008525.68,1221697175.04,10200184037.84,1103223874.56,13968268310.0,5156346226.799999,10535864018.400002,474225131.0,2760754990.76,1206558403.6799998,652358202.3,378660063.53,3010440137.04,1632332117.36,13111968851.2,29847552609.600002,9345569047.0,1117185448.6100001,26127776934.72,9608905483.2,7130210780.16,448353276.375
2024-06-07,7227396464.64,65275014.24,3870356062.72,880854003.72,39049247520.0,27995196284.160004,61895415514.079994,8632093680.0,1590335947.2,16124771792.640001,5000422024.639999,7957325737.920001,763328515.28,11339957613.6,542958994.5600001,403921562.20000005,383503351.288,2373952090.56,159211841472.0,3914108472.96,9810176134.08,39973424656.0,4960266509.52,404636144.82000005,9488105960.0,1248348342.96,197462470.1,13000954929.6,2371381215.84,6459231946.32,949609200.96,4207217955.1200004,10004167676.800001,16546057869.44,5855331345.200001,5799797303.04,1322526090.24,6444708264.48,7022871469.28,4664703646.4,2882221329.6000004,4002139739.5200005,2631123886.0800004,10967846168.4,7581470905.6,768769099.84,3987273338.88,1016244078.9399999,28897277126.08,32731274400.0,3867193744.08,27040179144.960003,1940746371.76,830315270.32,4001007293.72,2421865635.96,545543671.15,5439059308.8,806437848.6,3828232447.75,241142073.84,315074841.59999996,307004170.2,6351322063.12,636743164.64,1365533742.0800002,201788978.98,5131244365.6,329528378.16,2559056869.6,247903975.12,61649083850.880005,30213126624.0,20660966584.32,4823685106.24,7875809106.72,3481110676.96,1149029800.8,9957902720.76,1131820400.6399999,12511081466.8,4839993198.96,11110655250.0,493576062.52000004,2774153461.9599996,1230609401.7600002,607162143.84,378543229.2,2848155649.92,1597158161.12,12508364086.4,28937760899.039997,8908718616.0,1024100246.34,23136035534.399998,8959753310.4,7592464289.280001,423993235.17
2024-06-13,6805268469.76,76154183.28,3781652860.1600003,911905974.4,39961162300.32,28066054885.120003,63155333641.920006,8743726771.2,1747621920.0,14788316321.279999,5079022794.72,7886633227.200001,770902888.64,11248524327.039999,544543120.0,480877234.24,383624241.28,2393057858.2000003,153471717344.0,3924903886.4,10560795349.439999,39418143863.2,4981681840.320001,410243793.8,9932372568.48,1277646900.48,193543367.64,13064440790.2,2384003338.08,6765496000.08,937809626.8800001,4259661941.52,10064113509.12,16444022485.44,5794133019.36,5820451851.84,1300616772.48,6189009050.88,6870415911.44,4523241822.4,3054294244.8,3952485400.32,2560704512.0,10954037503.2,7669966035.200001,760661276.16,3975838850.56,990579666.3199999,27354104161.12,32336780520.000004,3930736564.3199997,25577272419.840004,1930858729.76,804124251.68,4455916676.32,2419381388.1000004,566303717.02,5207538585.599999,793805124.56,4337828209.05,232700266.07999998,309683827.2,299816781.6,6611339394.56,646521161.64,1356120595.8799999,193797500.065,5250532730.72,300751672.08,2841075381.7599998,245111323.84,59995720765.44,30526057536.000004,20450066186.24,4756646172.96,7848034864.24,3509200930.4799995,1122102296.64,9806535476.24,1097203553.28,12902086147.6,4680776050.08,11141468800.560001,493576062.52000004,2907468250.4,1191860571.52,602614112.8,378893732.19,2894702363.28,1559378726.64,12418719814.400002,28983871200.16,8820338471.0,1016601263.3199999,24713826462.0,8942797843.2,7290908352.0,425278417.2
2024-06-12,7011916902.400001,74234329.92,3788893937.92,906010030.6,39901439921.76,28193946018.559998,62670409090.079994,8790456902.4,1768593383.04,14865548672.640001,5071515979.599999,7979417147.5199995,764170112.32,11462612022.4,550483590.4,464796944.56,388459840.96000004,2390155716.2799997,154472664256.0,4009724992.0,10481861185.92,39076824476.8,5038789389.12,419097976.4,9731447971.68,1297466512.92,195804388.29,13167086153.599998,2387421829.52,6878635957.440001,959356675.1999999,4421028053.52,10176087799.68,16635849007.359999,5868297092.200001,5886546408.0,1317546699.8400002,6341884538.16,7103437414.4800005,4597509280.0,3048558480.96,4014829181.7599998,2605516840.96,10986676166.4,7708391552.0,776876923.52,4136594304.0,981580456.6999999,27588454210.24,32567227440.0,3964180153.92,25884010926.719997,1966454240.96,820718561.1999999,4433963944.72,2437737219.5099998,564218232.96,5301489024.0,800855947.2800001,4473448961.75,231232125.6,320465856.0,303043772.4,6566457658.32,648476761.04,1363023569.76,196428235.35999998,5216959819.712,317947508.64000005,2767959471.2000003,244218959.408,60371485103.04,30683699424.0,20453702400.0,4781590892.320001,7902375773.44,3520645107.84,1142390142.24,9885265188.56,1141603422.72,12831577106.8,4730726528.16,11094063338.16,492684901.20000005,2926896033.64,1224596652.2399998,613699938.46,384735448.69,2931813932.04,1594552682.88,12705581484.800001,29288908576.8,8992048467.0,1024752331.8199999,24880238403.84,8952486681.6,7388120463.360001,421773375.3
2024-06-06,7532953548.8,64635063.12,3901130643.2000003,874564997.0,38766714729.12,28074696177.92,59740933372.8,8484114931.2,1625288385.6000001,16165066932.48,5087412764.559999,8012554261.920001,772586082.72,11235143846.08,550087559.0400001,421916172.08,387452424.36,2412889161.3199997,159620391232.0,3954205722.88,9832515991.68,40189084168.799995,5066391371.04,404341005.4,9644380646.400002,1250933509.8,197613204.81,12595120082.4,2383740377.2000003,6639708978.0,954226425.6,4287094180.56,9915379981.76,16595034853.759998,5891635436.799999,5824582761.599999,1320036395.04,6460213429.56,7273245637.44,4707142193.6,2945314731.8399997,3847107858.2400002,2632724326.4,11257828137.6,7704898323.2,781667910.24,4068996299.52,1017243991.12,29082988485.76,32520356880.000004,3866078957.7599998,27181750763.52,1963290195.52,854107111.68,4040766129.84,2464511890.89,540424755.73,5430670876.799999,809963259.96,3776395878.2999997,246831118.2,324658867.2,308764347.0,6464453712.32,696975626.16,1365533742.0800002,202351526.15,5186584328.799999,339354570.48,2576962806.88,246459500.32,61297051997.76,30730756704.000004,20871866982.399998,4856425050.4,8018303046.400001,3485272196.0,1151980760.16,10141136753.6,1137840721.9199998,12700173894.4,4784839546.08,11218502676.96,502614984.47999996,2768794073.48,1243971067.3600001,609151907.42,386254294.98,2904766517.52,1619304726.1599998,12448601238.4,29095600006.72,8861750881.8,1043499789.3700001,23157342140.64,9124463563.2,7602383892.4800005,428082450.72
2024-06-10,7269785886.719999,68474769.84,3759929626.88,864738424.0,39745242931.68,27959766983.68,62570767058.88,8769687955.2,1639269360.96,15758757605.76,5056943926.72,7983835429.440001,760803724.16,10918472463.36,551275653.12,421533308.04,380199024.84000003,2374919471.2000003,158517306880.0,4037484626.56,9921875422.08,39834179931.200005,4949320896.0,412604909.16,9497035942.08,1240592842.4399998,196256592.42,12829483773.4,2363492389.44,6766692344.04,952174325.76,4254417542.8799996,10016609264.64,16786861375.68,5815915474.32,5915462776.32,1283686845.1200001,6282584082.24,6815878963.92,4576290006.4,2887957093.44,4040759781.12,2573508034.56,10913866840.8,7703733913.599999,761398351.04,4054198726.4,998912267.8199999,28169170684.16,32688309720.0,3948573145.44,26379511591.68,1934022775.2,832714447.6,4310296890.04,2408754327.81,539666397.89,5410538640.0,795861614.52,3991572453.6,247748706.0,324658867.2,302163684.0,6385076096.16,632831965.84,1335411674.24,203691712.055,5206875648.64,323211540.24,2575470645.44,243417757.38560003,60411039243.84,30227243808.0,20479155896.32,4733260498.559999,7844412136.959999,3462383841.28,1118044727.52,9705311560.4,1142355962.8799999,12751453196.8,4841033833.92,11193614809.2,494594532.6,2859903677.64,1212571153.1999998,596929074.0,378660063.53,2849413669.2,1566543791.8,12568126934.400002,29037075393.76,9077903465.0,1030458079.77,23507799077.76,8950064472.0,7548818035.2,423292226.78999996
2024-06-04,7418148864.0,65275014.24,3910181990.4,729524779.52,38339470020.96,27398082951.68,59856075275.52,8307578880.0,1478488144.3200002,16238941355.52,5022500892.639999,7882214945.28,781002053.12,11056737433.279999,546919308.16,380949719.79999995,385034624.52,2391848632.4,161601857568.0,3938783703.68,9810176134.08,39168522222.4,4969784434.320001,408472957.28,9584103267.36,1232262860.3999999,198366878.36,13086987170.6,2372696020.2400002,6583309905.599999,912671403.8399999,4316946911.28,9867875737.28,16578709192.32,5922753229.6,5828713671.36,1295637382.08,7504499898.72,7022871469.28,4724824921.599999,2908032266.88,3892348478.3999996,2611918602.2400002,11348212128.0,7706062732.800001,768032024.96,4062606438.4,990246362.26,29488310897.76,32153204159.999996,3794732633.2799997,28022528875.968,1978319411.3600001,864303615.1199999,3932465987.28,2443119756.54,511038389.42999995,5428993190.4,822302199.7199999,3823925784.125,238572828.0,312079833.6,302750409.6,6550137026.96,722007298.48,1340432018.8799999,203509711.5,5050693974.72,326019023.76,2456097730.2400002,245143423.28,60976663457.28,30975454560.0,21330029916.16,4893842129.440001,8083512137.44,3546654601.84,1142390142.24,10077871806.2,1057318924.8000001,12506808191.599998,5144899242.24,10939403017.08,484282523.03999996,2792241398.08,1234283859.8000002,600340097.28,384268111.37,2879606131.92,1610185552.32,12574103219.199999,29219743125.12,8719332591.0,1047575323.6200001,23393918940.960003,9206818689.6,7556753717.76,433456848.3
2024-06-05,7522356193.280001,67194867.60000001,3924664145.92,812067992.72,38746041598.08,28272581783.04,59856075275.52,8276425459.2,1628783629.44,16285952352.0,5110374787.28,8032436530.559999,777635664.96,11293125930.24,563552625.28,427659132.68,383825724.6,2372984709.92,159824666112.0,3985049761.28,9941236632.0,39351917713.6,5077336984.559999,410243793.8,9588568258.400002,1243178009.28,197763939.51999998,12884069747.0,2397151382.08,6697475300.64,942939876.4799999,4323401555.76,9867875737.28,16709314483.839998,5959057321.200001,5867957314.08,1310575553.28,7213982068.799999,7171608598.88,4735434558.400001,3006974193.12,3906141350.3999996,2627122785.2799997,11182508145.6,7721200057.6,777613998.4000001,4149710334.72,996579139.4,29239221851.84,33055462440.0,3848242376.6400003,27260401662.719997,1995721661.28,886496004.96,4083208077.6,2474862923.64,527911851.37,5506166764.8,844336020.7199999,3695273996.2000003,247565188.44,321064857.6,310671205.2,6529365314.32,739998812.96,1351100251.24,200002064.44,5524158104.320001,339003635.04,2441176115.84,248000273.44000003,61154657090.880005,31340148479.999996,21042769029.12,4875133589.92,8062983349.5199995,3582027513.68,1141283532.48,10091930683.4,1140098342.4,12839055338.400002,5109517653.6,11227391201.16,486828698.24,2754055755.16,1251988066.7199998,600908601.16,389759324.88,2933700960.96,1631029378.24,12550198080.0,29384676125.28,8983967996.599998,1033229443.0600001,23331468543.36,9175329964.800001,7612303495.679999,432230083.635
