underlying_symbol,quote_date,open,high,low,close,trade_volume,vwap,best_bid_1545,best_ask_1545,best_bid_eod,best_ask_eod
A,2024-06-17,131.1100,132.0700,129.5000,131.8200,1686376,131.0790,131.7200,131.7500,131.8300,131.8400
AA,2024-06-17,37.5200,37.7300,36.9000,37.4300,3315711,37.3299,37.5400,37.5600,37.4200,37.4300
AAA,2024-06-17,25.1500,25.1500,25.0800,25.1001,8276,25.1372,25.1000,25.1200,25.1000,25.1200
AAAU,2024-06-17,22.9850,23.0300,22.8500,22.9500,1618741,22.9291,22.9500,22.9600,22.9500,22.9600
AACG,2024-06-17,0.8000,0.8470,0.8000,0.8100,8800,0.8024,0.8100,0.8400,0.8100,0.8400
AACI,2024-06-17,11.5000,11.5000,11.4100,11.4100,4355,11.4547,11.3500,11.5000,11.3500,11.5000
AACIU,2024-06-17,0.0000,0.0000,0.0000,0.0000,0,0.0000,11.3200,12.5800,11.3200,12.5800
AACIW,2024-06-17,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.1200,0.1700,0.1200,0.1700
AACT,2024-06-17,10.6500,10.6600,10.6500,10.6550,1261810,10.6502,10.6500,10.6600,10.6500,10.6600
AACT.U,2024-06-17,10.6900,10.6900,10.6900,10.6900,635,10.6903,10.6900,10.8000,10.6900,10.8000
AACT.WS,2024-06-17,0.1311,0.1450,0.1299,0.1398,67600,0.1313,0.1300,0.1398,0.1300,0.1500
AADI,2024-06-17,1.7100,1.7100,1.6200,1.6400,244536,1.6435,1.6200,1.6300,1.6300,1.6400
AADR,2024-06-17,62.0100,62.5100,62.0100,62.2800,1710,62.3047,62.1800,62.5100,62.1000,62.4800
AAGR,2024-06-17,0.3400,0.3580,0.3101,0.3257,116013,0.3353,0.3290,0.3354,0.3226,0.3254
AAGRW,2024-06-17,0.0110,0.0145,0.0110,0.0144,6885,0.0115,0.0144,0.0145,0.0144,0.0145
AAL,2024-06-17,11.2200,11.4887,11.2100,11.4550,26759774,11.3586,11.4000,11.4100,11.4500,11.4600
AAMC,2024-06-17,2.3600,2.3600,2.1500,2.1700,10527,2.2407,2.1500,2.3100,2.1500,2.2800
AAME,2024-06-17,1.9900,1.9900,1.8100,1.9000,6642,1.9011,1.9000,1.9500,1.9000,1.9500
AAN,2024-06-17,9.9800,10.0650,9.9600,10.0600,6596925,9.9959,10.0400,10.0500,10.0500,10.0600
AAOI,2024-06-17,10.0100,10.3050,9.8200,10.1700,1149939,10.0302,10.2500,10.2700,10.1700,10.1900
AAON,2024-06-17,75.9900,80.1100,75.4650,79.4600,714640,78.5576,79.9000,79.9600,79.4000,79.4600
